author_name;author_email;author_phone;source_name;source_date;source_url;first_name;last_name;sex;date_of_birth;age;home_street;home_neighborhood;home_city;home_state;home_postal_code
Bill Mandil;bmd67893@example.com;(555) 258-6902;salesforce.com;2005-09-03T09:21:12Z;http://www.salesforce.com/person/a0030000001TRYR;Katherine;Doe;female;1971-02;30-45;Cotton Lane;Herringbone Parish;Tuscaloosa;AL;94305
Mary Jacobs;mdj@geocities.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;John;Smith;male;1980;25;Chestnut;New Orleans;New Orleans;LA;80540
Peter Jones;pj@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;Randy;Allen;male;1963;36;Chestnut;Tuscaloosa;New Orleans;LA;80540
Randy Allen;ra@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;Caroline;Gabriel;female;1993;16;Chestnut;Herringbone Parish;New Orleans;LA;80540
Caroline Gabriel;cg@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;Sandy Tseng;Smith;female;1985;36;Chestnut;New Orleans;New Orleans;LA;80540
Sandy Tseng;st@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;John;Garfunkel;male;1999;15;Chestnut;Tuscaloosa;New Orleans;LA;80540
John Garfunkel;jg@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;Steven;Casey;male;1975;36;Chestnut;Herringbone Parish;New Orleans;LA;80540
Steven Casey;sc@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;Mary;Truant;female;1969;46;Chestnut;New Orleans;New Orleans;LA;80540
Mary Truant;mt@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;Jim;Leeds;male;1980;50;Chestnut;Tuscaloosa;New Orleans;LA;80540
Jim Leeds;jl@test.com;(555) 736-1148;ICRC FamilyLinks;2005-09-03T22:07:59Z;http://www.familylinks.icrc.org/example?id=162537;Mary;Jacobs;female;1990;22;Chestnut;Herringbone Parish;New Orleans;LA;80540
